"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"11","GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY",0.000109637101195044,0.00212465390351587,0.845187692721955,1.75702993914837,0,28,"H2-K1,B2m,Ptprc,Il12b,H2-M3,Fcgr2b,Il12rb1,Il7r,Klrc1,Klrd1,Ripk3,Cd1d1"
"12","GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION",0.000109637101195044,0.00212465390351587,0.830254377769905,1.72598561409794,0,28,"Ccl12,Stat1,Xdh,Il12b,Thbs1,Tnf"
"13","GOBP_VASCULATURE_DEVELOPMENT",9.99900009999e-05,0.00212465390351587,0.629034851635164,1.42853226663938,0,517,"Cxcl10,Ccl12,Stat1,Cxcl13,Tgfbi,C3,Il6,Xdh,Cybb,Hmox1,Socs3,C3ar1,Itgb2,Serpine1,Tnfaip2,Il12b,Erap1,Ptgs2,Anxa2,Casp8,Rhoj,Thbs1,Tlr3,Ccn1,H2-M3,Tnfaip3,Tnf,Ctsh,Cyp1b1,Hspb1,Apod,B4galt1,Tnfrsf12a,Grn,Ecm1,Sat1,Has2,Angptl4,Rnh1,Cd40,Pml,Ddit3,Adam8,Anxa1,Jun,Ccr2,Itga5,Adamts1,Spi1,Lrg1,Gpnmb,Dcn,Cxcr4,Itgax,Angpt2,Cflar,Anxa3,Fosl1,Aldh1a2,Anpep,Rras,Clic4,Il10,Robo4,Lgals8,Gadd45a,Mmp14,Tgfb1,Rasip1,Hk2,Edn1,Nfe2l2,Junb,Dll1,Mmp19,Eng,Errfi1,Pdpn,Il6ra,Pecam1,Col4a1,Bak1,Il1b,Tiparp,Prkd2,Elk3,Sphk1,Hpgd,Pik3cg,E2f8,C5ar1,Id1,Sfrp1,Prkx,Rin2,Egfl7,Sod2,Smad6,Cxcr3,Flna,Gata2,Cdh5,Ccn2,Hgf,Egr1,Adm,Gpx1,Runx1,Il1a,Col4a2,Tgfbr2,Myh9,Il18,Syk,Adipor2,Sgpl1,Shc1,Cth,Niban2,Atp7a,Pgf,Fgf2,Fasl,Acvrl1,Xbp1,Efemp2,Ramp2,Nos3,Spry2,Hoxa5,Cela1,Stab1,Stra6,Btg1,Creb3l1,Amotl2,Cemip2,Clec14a,Nfatc1,Angpt1,Foxc1,Tal1,Hif1a,Notch1,Itgb1,Calcrl,Notch2,Rhob,Col1a2"
"14","GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.000100452034153692,0.00212465390351587,0.70226677301515,1.57243584491725,0,106,"Psmb9,Psmb8,Ifi209,Ifi203,Zbp1,Hck,Fcer1g,Psmb10,Psme1,Clec4e,Sting1,Tyrobp,Relb,Klrd1,Lyn,Tlr4,Clec4d,Pycard,Clec4b1,Plcg2,Icam2,Rela,Bcl10,Clec4n,Psmb2,Psma7,Nfkb1,Syk,Psmf1,Psma4,Psma6,Psma2,Psma3,Tbk1,Psma1,Psmb6,Aim2,Psmd11,Clec4a2,Psmb3,Tab2,Psmb4,Psmc2,Psmd8,Psma5,Ikbkg,Psmc6,Tab3"
"15","GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY",0.000100110121133247,0.00212465390351587,0.758450485505078,1.70754679035825,0,149,"Rsad2,Irf7,Ifih1,Ddx60,Ifi35,Irf1,Nmi,Slc15a3,Myd88,Acod1,Tlr2,Cyba,Dhx58,Itgb2,Ctss,Tifa,Casp8,Tlr3,Tlr7,Tnfaip3,Birc3,Nfkbia,Cd300lf,Rnf135,Clec4e,Tlr1,Pik3ap1,Ly96,Itgam,Cd40,Cd14,Ikbke,Havcr2,Lyn,Tlr4,Ripk1,Unc93b1,Rab7b,Lgmn,Ripk2,Rela,Tirap,Bcl10,Lbp,Ptpn22,Gfi1,Tlr6,Mapkapk2,Riok3,Gps2,Tnip2,Peli1,Hspa1a,Tlr8,Tlr9,Btk,Ctsb,Birc2"
"16","GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.000100290843445993,0.00212465390351587,0.767546501046345,1.72247551286549,0,114,"Rsad2,Irf7,Ifi35,Irf1,Nmi,Myd88,Acod1,Tlr2,Cyba,Itgb2,Ctss,Casp8,Tlr3,Tlr7,Tnfaip3,Birc3,Nfkbia,Cd300lf,Tlr1,Pik3ap1,Ly96,Itgam,Cd40,Cd14,Ikbke,Havcr2,Lyn,Tlr4,Ripk1,Unc93b1,Rab7b,Lgmn,Ripk2,Tirap,Bcl10,Lbp,Ptpn22,Gfi1,Tlr6,Mapkapk2,Gps2,Tnip2,Peli1,Tlr8,Tlr9,Btk,Ctsb,Birc2"
"17","GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",9.99900009999e-05,0.00212465390351587,0.754503719943959,1.70474370585342,0,239,"Cxcl10,Ccl5,Ccl12,Cd274,Cxcl13,B2m,Icam1,Tspo,Il6,Myd88,Acod1,Cmpk2,Hck,Irf8,Tlr2,Zfp36,Serpine1,Il12b,Casp1,Casp8,Cd68,Tnfaip3,Nfkbia,Tnf,Vcam1,Slc11a1,Cd86,Csf2rb,Csf2rb2,Tlr1,Gpr31b,Ccr5,Cd180,Fcgr2b,Ly96,Cd40,Cebpb,Jun,Cd14,Vim,Il10ra,Ly86,Dcn,Litaf,Havcr2,Irf5,Tnfrsf1b,Il10,Lyn,Axl,Tlr4,Pycard,Trib1,Nos2,Tgfb1,Arg1,Edn1,Ptges,Gch1,Nfkb2,Mgst1,Cxcl2,Jak2,Selp,Cxcl1,Plcg2,Fos,Ccr7,Il1b,Ido1,Sele,Ripk2,Rela,Tirap,Cd96,Hpgd,Bcl10,Lbp,C5ar1,Slpi,Sod2,Ptpn22,Smad6,Gng12,Kmo,Gfi1,Tlr6,Adm,Mapkapk2,Il1a,Tnip2,Nfkbib,Peli1,Nfkb1,Il18,Adipor2,Tlr9,Cldn1,Cxcl5,Fasl,Xbp1,Jund,Cnr2,Nr1h3,Cd36,Nos3,S100a8,Ggt5"
"18","GOBP_ADAPTIVE_IMMUNE_RESPONSE",9.99900009999e-05,0.00212465390351587,0.787522378624111,1.78016206098788,0,285,"Rsad2,Irf7,H2-K1,Cd274,Cxcl13,Irf1,Serping1,Tap1,B2m,C3,Icam1,Ptprc,Il6,Myd88,Tap2,Fcer1g,Ctsc,Ctss,Il12b,C1qc,Erap1,Cd74,H2-Aa,Stat3,C1qa,Tcirg1,C2,H2-M3,Tnfaip3,C1qb,Tnf,Ctsh,Parp3,Slc11a1,Cd86,Ifnb1,Slamf7,Ifng,Cd48,Fcgr2b,Il12rb1,Samsn1,H2-Ab1,Il7r,Cd40,Il18bp,H2-Eb1,Anxa1,Ada,Ccr2,Relb,Klrc1,Il4ra,Klrd1,Havcr2,Bcl3,Lat2,Inpp5d,Cd3g,Mad2l2,Ptpn6,Nfkbiz,Prf1,Pla2g4a,Tnfrsf1b,Il10,Adgre1,Lyn,Loxl3,Hpx,Batf,Tlr4,Il1r1,Arg2,Il17ra,Clec4d,Unc93b1,Txk,Pycard,Myo1g,Ifna6,Tgfb1,Rnf19b,Arg1,Lag3,Mcoln2,Nfkb2,Sash3,Clec4b1,Tbx21,Lair1,Il6ra,Jak2,Icosl,Il1b,Pirb,Prkd2,Il33,Cd8b1,Was,Ripk2,Tnfsf13b,Bcl10,Ly9,Pik3cg,Slamf6,Zbtb7b,Clec4n,Ctla4,Cd28,Prdm1,Cd3d,Dbnl,Ebi3,Cd244a,Tec,Ripk3,Pdcd1,Il18,Gata3,Syk,Tlr8,Itk,Btk,Cd1d1,Bcl6,Fut7"
"19","GOBP_IMMUNE_EFFECTOR_PROCESS",9.99900009999e-05,0.00212465390351587,0.75392071179168,1.71687740708106,0,797,"Cxcl10,Ifit1,Rsad2,Plac8,Ifit2,Isg15,Irf7,H2-K1,Stat1,Ifitm3,Ifih1,Lcn2,Rtp4,Oasl1,Ddx60,Ifi35,Fcgr4,Parp9,Isg20,Irf1,Serping1,B2m,Nmi,C3,Ifi209,Ifi203,Cfb,Icam1,Ptprc,Eif2ak2,Fcgr1,Irf9,Il6,Myd88,Acod1,Zbp1,Samhd1,Hck,Cybb,Fgl2,Oas2,Fcer1g,Apobec1,Stat2,Hmox1,Tlr2,Serpina3n,Cd53,Cyba,Dhx58,C3ar1,Itgb2,Ctsc,Ctss,Sell,Ptx3,Il12b,C1qc,Cd74,Stat3,Gpr84,Anxa2,Cd44,C1qa,Tcirg1,Tlr3,C2,Ifitm2,Cd68,H2-M3,Tlr7,Tnfaip3,Birc3,C1qb,Tnf,Lcp1,Ctsh,Arpc1b,Parp3,Slc11a1,Cd86,Ifnb1,Rnf135,Ctsz,Slamf7,B4galt1,Rac2,Il15,Vav1,Cd180,Oas3,Ifng,Sting1,Clec7a,Fcgr2b,Il12rb1,Grn,Serpinb9,Mvp,H2-Ab1,Il7r,Itgam,Nt5c3,Cd40,Pml,Glipr1,Tyrobp,Nckap1l,Hp,Lyz1,Adam8,Anxa1,Cd14,Pglyrp1,Ada,Ccr2,Relb,Klrc1,Il4ra,Klrd1,Cd93,Lrg1,Il10rb,Mmp8,Slamf8,Itgax,Plscr1,Anxa3,Plaur,Havcr2,Bcl3,Anpep,Lat2,Inpp5d,Pnp,Cd3g,Mad2l2,Mov10,Ptpn6,Nfkbiz,Prf1,Irf5,Tnfrsf1b,Il10,Npc2,Lyn,Loxl3,Hpx,Batf,Tlr4,Fcgr3,Il1r1,Clec4d,Unc93b1,Pycard,Myo1g,Ifna6,Nos2,Tgfb1,Rnf19b,Arg1,Clec5a,Lgals1,Lag3,Gmfg,Irf2,Bst1,Tnfrsf4,Laptm5,Adar,Fgr,Fes,Ampd3,Dll1,Sash3,Iqgap1,Rap1b,Clec4b1,Dock2,Mgst1,Tbx21,Cstb,Gla,Pgm2,Lair1,Lamp2,Il6ra,Hvcn1,Vamp8,Arhgap9,Pecam1,Plcg2,Dnase1l1,Il18rap,Itgal,Ifnar2,Pros1,Il1b,Pirb,Stxbp3,Serpina3c,Il33,Was,Ripk2,Gns,Rela,Arhgap45,Tmbim1,Cd96,Bcl10,Dok3,Ly9,Pik3cg,Lbp,Snap23,Pygl,St3gal1,Slamf6,Zbtb7b,C5ar1,Slpi,Fpr1,Vnn1,Mfng,Cd28,Ptpn22,Flna,Gata2,Sucnr1,Enpp4,Dbnl,Stom,Cebpg,Ddit4,Il2ra,Ostf1,Riok3,Slc7a5,Rhog,Olr1,Map3k14,Ncr1,Cd244a,Shfl,Cybc1,Ddx21,A2m,Cnn2,Hspa1a,Ripk3,Nfkb1,Cr1l,Il18,Gata3,Syk,Plekho2,Tlr8,Tlr9,Gab2,Rnasel,Iqgap2,Btk,Galns,Ctsb,Cd1d1,Cxcl5,Birc2,Tmbim6,Atp7a,Bcl6,Fut7,Sdcbp,Tcim"
"20","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",9.99900009999e-05,0.00212465390351587,0.69331273880168,1.56827564059606,0,302,"H2-K1,Psmb9,Psmb8,Fcgr4,Serping1,C3,Ifi209,Ifi203,Cfb,Ptprc,Fcgr1,Zbp1,Hck,Fcer1g,C3ar1,Psmb10,Psme1,C1qc,Lpxn,H2-Aa,C1qa,C2,C1qb,Arpc1b,Clec4e,Vav1,Sting1,Fcgr2b,H2-Ab1,Lcp2,Lck,H2-Eb1,Tyrobp,Nckap1l,Ada,Relb,Klrd1,Plscr1,Elf1,Lat2,Inpp5d,Cd3g,Ptpn6,Nfkbiz,Lyn,Tlr4,Fcgr3,Clec4d,Txk,Pycard,Myo1g,Rab29,Laptm5,Fgr,Clec4b1,Plcg2,Pros1,Ccr7,Icosl,Il1b,Prkd2,Was,Ripk2,Icam2,Rela,Bcl10,Clec4n,Ctla4,Blnk,C5ar1,Fpr1,Psmb2,Cd28,Ptpn22,Cd3d,Ezr,Runx1,Gps2,A2m,Tec,Psma7,Nfkb1,Cr1l,Gata3,Syk,Itk,Btk,Psmf1"
"21","GOBP_MYELOID_CELL_HOMEOSTASIS",0.000100280786201364,0.00212465390351587,0.683272750509629,1.53276516902053,0,112,"Isg15,Stat1,B2m,Il6,Hmox1,Zfp36,Stat3,Hcls1,Nckap1l,Anxa1,Spi1,Hcar2,Inpp5d,Lyn,Axl,Ptbp3,Adar,Jak2,Mafb,Bak1,Tmod3,Mertk,Gata2,Cebpg,Slc7a11,Cdk6,Bcl2l11,Hspa1a,Ikzf1,Gata3,G6pdx,Hspa9,Bcl6,Inhba"
"22","GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",9.99900009999e-05,0.00212465390351587,0.722707832105399,1.64124563997633,0,491,"Plac8,Lcn2,Ifi35,Fcgr4,B2m,Nmi,C3,Icam1,Ptprc,Il6,Cybb,Fgl2,Fcer1g,Hmox1,Tlr2,Serpina3n,Cd53,Cyba,C3ar1,Itgb2,Ctsc,Ctss,Sell,Ptx3,Il12b,Cd74,Stat3,Gpr84,Anxa2,Cd44,Tcirg1,Cd68,Lcp1,Ctsh,Parp3,Slc11a1,Cd86,Ifnb1,Ctsz,B4galt1,Rac2,Cd180,Ifng,Sting1,Clec7a,Fcgr2b,Il12rb1,Grn,Mvp,Itgam,Cd40,Glipr1,Tyrobp,Nckap1l,Hp,Lyz1,Adam8,Anxa1,Cd14,Pglyrp1,Ada,Ccr2,Relb,Il4ra,Cd93,Lrg1,Mmp8,Itgax,Anxa3,Plaur,Havcr2,Bcl3,Anpep,Lat2,Pnp,Mad2l2,Ptpn6,Nfkbiz,Tnfrsf1b,Il10,Npc2,Lyn,Loxl3,Batf,Tlr4,Fcgr3,Clec4d,Pycard,Ifna6,Tgfb1,Arg1,Clec5a,Lgals1,Gmfg,Bst1,Fgr,Fes,Ampd3,Dll1,Iqgap1,Rap1b,Clec4b1,Dock2,Mgst1,Tbx21,Cstb,Gla,Pgm2,Lair1,Lamp2,Il6ra,Hvcn1,Vamp8,Arhgap9,Pecam1,Plcg2,Dnase1l1,Itgal,Pirb,Stxbp3,Serpina3c,Il33,Ripk2,Gns,Arhgap45,Tmbim1,Dok3,Ly9,Pik3cg,Lbp,Snap23,Pygl,St3gal1,Slamf6,Zbtb7b,C5ar1,Slpi,Fpr1,Vnn1,Mfng,Cd28,Gata2,Sucnr1,Enpp4,Dbnl,Stom,Ostf1,Rhog,Olr1,Cd244a,Cnn2,Hspa1a,Nfkb1,Il18,Gata3,Syk,Plekho2,Gab2,Iqgap2,Btk,Galns,Ctsb,Atp7a,Bcl6,Sdcbp,Tcim,Trp53,Dnase1l3,Xbp1"
